,CFSAUID
8246,G0A
8282,G0A
8283,G0A
8356,G0A
8364,G0A
8371,G0A
8456,G0A
8495,G0A
8496,G0A
8508,
8517,G0A
8518,G0A
8544,G0A
8566,G0A
8567,G0A
8580,G0A
8581,G0A
8601,G0A
8615,G0A
8618,G0A
8619,G0A
8627,G0A
8628,G0A
8645,G0A
8684,G0A
8686,G0A
8687,G0A
8695,G0A
8698,G0A
8699,G0A
8712,G0A
8713,G0A
8724,G0A
8725,G0A
8732,G0A
8733,G0A
8735,G0A
8771,G0A
8776,G0A
8777,G0A
8792,G0A
8793,G0A
8804,G0A
8805,G0A
8809,G0A
8812,G0A
8813,G0A
8845,G0A
8846,G0A
8847,G0A
8848,G0A
8853,G0A
8854,G0A
8855,G0A
8856,G0A
8857,G0A
8858,G0A
8859,G0A
8860,G0A
8893,G0A
8894,G0A
8902,G0A
8903,G0A
8910,G0A
8911,G0A
8968,G0A
9041,G0A
9042,G0A
9043,G0A
9044,G0A
9045,G0A
9046,G0A
9047,G0A
9079,
9080,
9081,
9089,G0A
9090,G0A
9091,G0A
9092,G0A
9139,G0A
9179,G0A
9180,G0A
9181,G0A
9196,G0A
9197,G0A
9213,
9214,
9215,G0A
9216,G0A
9217,G0A
9250,G0A
9251,G0A
9252,G0A
9255,G0A
9260,G0A
9267,G0A
9268,G0A
9287,G0A
9340,G0A
9358,G0A
9359,G0A
9366,G0A
9367,G0A
9368,G0A
9369,G0A
9411,G0A
9412,G0A
9413,G0A
9459,G0A
9460,G0A
9461,G0A
9468,G0A
9500,G0A
9519,G0A
9520,G0A
9554,G0A
9588,G0A
9589,G0A
9594,G0A
9595,G0A
9642,G0A
9643,G0A
9644,G0A
9645,G0A
9661,G0A
9663,G0A
9673,G0A
9674,G0A
9691,G0A
9693,
9719,G0A
9724,G0A
9749,G0A
9750,G0A
9858,G0A
9890,G0A
9891,G0A
9914,G0A
9915,G0A
9934,G0A
9983,G0A
9984,G0A
9996,G0A
10029,G0A
10030,G0A
10038,G0A
10094,G0A
10095,G0A
10096,G0A
10097,G0A
10098,G0A
10099,G0A
10100,G0A
10101,G0A
10102,G0A
10106,G0A
10107,G0A
10152,G0A
10153,G0A
10154,G0A
10155,G0A
10171,G0A
10179,G0A
10185,G0A
10187,G0A
10188,G0A
10189,G0A
10191,G0A
10198,G0A
10199,G0A
10200,G0A
10201,G0A
10234,G0A
10235,G0A
10236,G0A
10237,G0A
10238,G0A
10256,G0A
10257,G0A
10298,G0A
10299,G0A
10300,G0A
10335,G0A
10339,G0A
10340,G0A
10355,G0A
10365,G0A
10392,G0A
10393,G0A
10394,G0A
10414,G0A
10415,G0A
10424,G0A
10425,G0A
10433,G0A
10434,G0A
10435,G0A
10436,G0A
10437,G0A
10476,G0A
10477,G0A
10478,G0A
10483,G0A
10484,G0A
10489,G0A
10490,G0A
10495,G0A
10508,G0A
10509,G0A
10519,G0A
10522,G0A
10523,G0A
10552,G0A
10553,G0A
10554,G0A
10555,G0A
10575,G0A
10576,G0A
10577,G0A
10578,G0A
10579,G0A
10580,G0A
10581,G0A
10586,G0A
10588,G0A
10611,G0A
10638,G0A
10639,G0A
10678,G0A
10679,G0A
10684,G0A
10685,G0A
10696,G0A
10701,G0A
10702,G0A
10703,G0A
10704,G0A
10705,G0A
10732,G0A
10736,G0A
10741,G0A
10742,G0A
10743,G0A
10744,G0A
