year,quarter,persons
2015,1,"8,160,176"
2015,2,"8,159,968"
2015,3,"8,175,743"
2015,4,"8,190,074"
2016,1,"8,193,831"
2016,2,"8,204,229"
2016,3,"8,225,036"
2016,4,"8,246,383"
2017,1,"8,252,179"
2017,2,"8,265,839"
2017,3,"8,292,832"
2017,4,"8,326,075"
2018,1,"8,338,883"
2018,2,"8,354,460"
2018,3,"8,386,951"
2018,4,"8,418,646"
2019,1,"8,430,363"
2019,2,"8,447,632"
2019,3,"8,483,186"
2019,4,"8,521,542"
2020,1,"8,537,376"
2020,2,"8,550,900"
2020,3,"8,551,095"
2020,4,"8,551,865"
2021,1,"8,550,561"
2021,2,"8,556,015"
2021,3,"8,572,020"
2021,4,"8,604,508"
2022,1,"8,613,282"
2022,2,"8,628,480"
2022,3,"8,669,963"
2022,4,"8,718,914"
2023,1,"8,742,975"
2023,2,"8,772,140"
2023,3,"8,821,696"
2023,4,"8,882,501"
2024,1,"8,909,038"
2024,2,"8,945,468"
2024,3,"8,995,474"
2024,4,"9,038,268"
2025,1,"9,043,463"
2025,2,"9,041,123"
2025,3,"9,058,297"
2025,4,"9,058,089"
2026,1,"9,033,887"
