year,quarter,persons,,
2015,1,"8,160,176",,
2015,2,"8,159,968",,
2015,3,"8,175,743",,
2015,4,"8,190,074",,
2016,1,"8,193,831",,
2016,2,"8,204,229",,
2016,3,"8,225,036",,
2016,4,"8,246,383",,
2017,1,"8,252,179",,
2017,2,"8,265,839",,
2017,3,"8,292,832",,
2017,4,"8,326,075",,
2018,1,"8,338,883",,
2018,2,"8,354,460",,
2018,3,"8,386,951",,
2018,4,"8,418,646",,
2019,1,"8,430,363",,
2019,2,"8,447,632",,
2019,3,"8,483,186",,
2019,4,"8,521,542",,
2020,1,"8,537,376",,
2020,2,"8,550,900",,
2020,3,"8,551,095",,
2020,4,"8,551,865",,
2021,1,"8,550,561",,
2021,2,"8,556,015",,
2021,3,"8,572,020",,
2021,4,"8,604,508",,
2022,1,"8,613,282",,
2022,2,"8,628,480",,
2022,3,"8,669,963",,
2022,4,"8,718,914",,
2023,1,"8,742,975",,
2023,2,"8,772,140",,
2023,3,"8,821,696",,
2023,4,"8,882,501",,
2024,1,"8,909,038",,
2024,2,"8,945,468",,
2024,3,"8,995,474",,
2024,4,"9,038,268",,
2025,1,"9,043,463",,
2025,2,"9,041,123",,
2025,3,"9,058,297",,
2025,4,"9,058,089",,
2026,1,"9,033,887",,
2027,1,"9,053,744",,
2027,2,"9,073,601",,
2027,3,"9,093,458",,
2027,4,"9,113,315",,
2028,1,"9,133,172",,
2028,2,"9,153,029",,
2028,3,"9,172,886",,
2028,4,"9,192,744",,
2029,1,"9,212,601",,
2029,2,"9,232,458",,
2029,3,"9,252,315",,
2029,4,"9,272,172",,
2030,1,"9,292,029",,
2030,2,"9,311,886",,
2030,3,"9,331,743",,
2030,4,"9,351,600",,
2031,1,"9,371,457",,
2031,2,"9,391,314",,
2031,3,"9,411,171",,
2031,4,"9,431,028",,
2032,1,"9,450,885",,
2032,2,"9,470,743",,
2032,3,"9,490,600",,
2032,4,"9,510,457",,
2033,1,"9,530,314",,
2033,2,"9,550,171",,
2033,3,"9,570,028",,
2033,4,"9,589,885",,
2034,1,"9,609,742",,
2034,2,"9,629,599",,
2034,3,"9,649,456",,
2034,4,"9,669,313",,
2035,1,"9,689,170",,
2035,2,"9,709,027",,
2035,3,"9,728,884",,
2035,4,"9,748,741",,
2036,1,"9,768,599",,
2036,2,"9,788,456",,
2036,3,"9,808,313",,
2036,4,"9,828,170",,
2037,1,"9,848,027",,
2037,2,"9,867,884",,
2037,3,"9,887,741",,
2037,4,"9,907,598",,
2038,1,"9,927,455",,
2038,2,"9,947,312",,
2038,3,"9,967,169",,
2038,4,"9,987,026",,
2039,1,"10,006,883",,
2039,2,"10,026,740",,
2039,3,"10,046,597",,
2039,4,"10,066,455",,
2040,1,"10,086,312",,
2040,2,"10,106,169",,
2040,3,"10,126,026",,
2040,4,"10,145,883",,
